Study,Sun (trend),Mon (trend),Tue (trend),Wed (trend),Thu (trend),Fri (trend),Sat (trend),Sun (observed),Mon (observed),Tue (observed),Wed (observed),Thu (observed),Fri (observed),Sat (observed)
Janszky2008,1780,2140,1991,1910,1941,1949,1781,1777,2038,1958,1895,1916,1977,1732
Jiddou2013,18.77,24.0,21.5,27.5,22.5,24.0,20.0,11,34,25,19,20,18,30
Kirchberger2015,67.56491785903552,67.56491785903552,67.56491785903552,67.56491785903552,67.56491785903552,67.56491785903552,67.56491785903552,60,57,77,73,77,84,60
Sandhu2014,86.8,107.5,99.3,97.6,93.7,93.3,85.8,89,102,79,93,104,86,99
Sipilä2016,159.75,197.5,193.0,170.25,201.5,178.25,157.0,160,214,180,198,199,172,153
Čulić2013,6.2,7.2,6.9,7,6.2,6.5,5.9,7,9,12,6,12,5,4
